CODGEO;DEP;LIBGEO;Zonage en vigueur depuis le 5 septembre 2025;Reclassement 5 septembre 2025
02253;02;Cuisy-en-Almont;C;Non
02254;02;Cutry;C;Non
02255;02;Cys-la-Commune;C;Non
02256;02;Dagny-Lambercy;C;Non
02257;02;Dallon;B2;Non
02258;02;Dammard;B2;Non
02259;02;Dampleux;C;Non
02260;02;Danizy;C;Non
02261;02;Dercy;C;Non
02262;02;Deuillet;C;Non
02263;02;Dhuizel;C;Non
02264;02;Dizy-le-Gros;C;Non
02265;02;Dohis;C;Non
02266;02;Dolignon;C;Non
02267;02;Dommiers;C;Non
02268;02;Domptin;B2;Non
02269;02;Dorengt;C;Non
02270;02;Douchy;C;Non
02271;02;Dravegny;C;Non
02272;02;Droizy;C;Non
02273;02;Dury;C;Non
02274;02;Ébouleau;C;Non
02275;02;Effry;C;Non
02276;02;Englancourt;C;Non
02277;02;Épagny;C;Non
02278;02;Éparcy;C;Non
02279;02;Épaux-Bézu;C;Non
02280;02;Épieds;C;Non
02281;02;L'Épine-aux-Bois;C;Non
02282;02;Eppes;C;Non
02283;02;Erlon;C;Non
02284;02;Erloy;C;Non
02286;02;Esquéhéries;C;Non
02287;02;Essigny-le-Grand;C;Non
02288;02;Essigny-le-Petit;B2;Non
02289;02;Essises;C;Non
02290;02;Essômes-sur-Marne;B2;Non
02291;02;Estrées;C;Non
02292;02;Étampes-sur-Marne;B2;Non
02293;02;Étaves-et-Bocquiaux;C;Non
02294;02;Étouvelles;C;Non
02295;02;Étréaupont;C;Non
02296;02;Étreillers;C;Non
02297;02;Étrépilly;C;Non
02298;02;Étreux;C;Non
02299;02;Évergnicourt;C;Non
02302;02;Faverolles;C;Non
02303;02;Fayet;B2;Non
02304;02;La Fère;C;Non
02305;02;Fère-en-Tardenois;C;Non
02306;02;La Ferté-Chevresis;C;Non
02307;02;La Ferté-Milon;B2;Non
02308;02;Fesmy-le-Sart;C;Non
02309;02;Festieux;C;Non
02310;02;Fieulaine;B2;Non
02312;02;La Flamengrie;C;Non
02313;02;Flavigny-le-Grand-et-Beaurain;C;Non
02315;02;Flavy-le-Martel;C;Non
02316;02;Fleury;C;Non
02317;02;Fluquières;C;Non
02318;02;Folembray;C;Non
02319;02;Fonsomme;B2;Non
02320;02;Fontaine-lès-Clercs;C;Non
02321;02;Fontaine-lès-Vervins;C;Non
02322;02;Fontaine-Notre-Dame;B2;Non
02323;02;Fontaine-Uterte;C;Non
02324;02;Fontenelle;C;Non
02326;02;Fontenoy;C;Non
02327;02;Foreste;C;Non
02328;02;Fossoy;C;Non
02329;02;Fourdrain;C;Non
02330;02;Francilly-Selency;C;Non
02331;02;Franqueville;C;Non
02332;02;Fresnes-en-Tardenois;C;Non
02333;02;Fresnes-sous-Coucy;C;Non
